,member_casual,station_name,station_lng,station_lat,station_rides
0,casual,Streeter Dr & Grand Ave,-87.612043,41.892278,125812
1,casual,DuSable Lake Shore Dr & Monroe St,-87.616743,41.880958,62927
2,member,Mulligan Ave & Wellington Ave,-87.6,41.79,58720
3,casual,Millennium Park,-87.62408432,41.8810317,58447
4,casual,DuSable Lake Shore Dr & North Blvd,-87.626804,41.911722,57463
5,casual,Michigan Ave & Oak St,-87.62377664,41.90096039,56982
6,member,Kingsbury St & Kinzie St,-87.63842616666666,41.88907733333333,51798
7,member,Wells St & Concord Ln,-87.634656,41.912133,47020
8,member,Clark St & Elm St,-87.63128,41.902973,46734
9,casual,Theater on the Lake,-87.630834,41.926277,41750
10,casual,Shedd Aquarium,-87.6153553902,41.86722595682,41550
11,member,Wells St & Elm St,-87.634324,41.903222,40986
12,member,Ellis Ave & 60th St,-87.6010727606,41.78509714636,39530
13,member,University Ave & 57th St,-87.599861,41.791478,39462
14,member,Clinton St & Madison St,-87.641066,41.882242,38896
15,member,Clinton St & Washington Blvd,-87.64117,41.88338,38826
16,member,Dearborn St & Erie St,-87.629318,41.893992,36880
17,casual,Wells St & Concord Ln,-87.634656,41.912133,36662
18,member,Wells St & Huron St,-87.634362,41.894722,36493
19,member,Broadway & Barry Ave,-87.6440978050232,41.93758231600629,36488
20,member,St. Clair St & Erie St,-87.62279838323593,41.89434513742426,36116
21,member,DuSable Lake Shore Dr & North Blvd,-87.626804,41.911722,35638
22,member,Green St & Madison St,-87.648789,41.881892,33777
23,member,Wabash Ave & Grand Ave,-87.626761,41.891466,33262
24,member,Clark St & Armitage Ave,-87.636282,41.918306,32639
25,member,Wilton Ave & Belmont Ave,-87.65304,41.94018,32464
26,member,Streeter Dr & Grand Ave,-87.612043,41.892278,32415
27,member,Wells St & Hubbard St,-87.634266,41.889906,32244
28,member,Sheffield Ave & Fullerton Ave,-87.6537080423,41.9256018819,32039
29,member,Loomis St & Lexington St,-87.661501,41.872187,31547
30,member,Desplaines St & Kinzie St,-87.6444478533,41.888716036,31095
31,member,Hyde Park Blvd & 55th St,-87.59,41.8,30835
32,member,Ashland Ave & Division St,-87.66779133333333,41.90350133333333,30765
33,casual,Clark St & Lincoln Ave,-87.6346,41.915689,30475
34,casual,Clark St & Armitage Ave,-87.636282,41.918306,30401
35,member,Clark St & Wrightwood Ave,-87.643118,41.929546,30299
36,member,Clark St & Lincoln Ave,-87.6346,41.915689,30109
37,member,Theater on the Lake,-87.630834,41.926277,29752
38,member,Ellis Ave & 55th St,-87.60145,41.794301,29483
39,casual,Wells St & Elm St,-87.634324,41.903222,29479
40,member,Canal St & Adams St,-87.639904,41.879255,29193
41,member,Michigan Ave & Oak St,-87.62377664,41.90096039,28507
42,casual,Indiana Ave & Roosevelt Rd,-87.623041,41.867888,28479
43,casual,Clark St & Elm St,-87.63128,41.902973,28470
44,casual,Dusable Harbor,-87.612813,41.886976,27979
45,member,Dearborn Pkwy & Delaware Pl,-87.6298595,41.899134,27948
46,member,Clark St & Drummond Pl,-87.644336,41.931248,27915
47,member,Larrabee St & Webster Ave,-87.64414,41.921822,27452
48,casual,Wabash Ave & Grand Ave,-87.626761,41.891466,27352
49,member,Wabash Ave & Roosevelt Rd,-87.62592966666666,41.86702316666667,27336
50,member,Clinton St & Lake St,-87.640207,41.88515,27159
51,member,Broadway & Waveland Ave,-87.648636,41.949074,26993
52,member,Kingsbury St & Erie St,-87.64169722795485,41.89380805624359,26633
53,member,Indiana Ave & Roosevelt Rd,-87.623041,41.867888,26508
54,member,LaSalle St & Illinois St,-87.631697,41.890762,26488
55,member,Larrabee St & Kingsbury St,-87.642884,41.897764,26446
56,member,Clark St & Schiller St,-87.631501,41.907993,26402
57,member,Broadway & Cornelia Ave,-87.646439,41.945529,26129
58,member,Lakeview Ave & Fullerton Pkwy,-87.63906,41.92594583333333,26039
59,member,Halsted St & Clybourn Ave,-87.648128,41.909668,25784
60,casual,Broadway & Barry Ave,-87.6440978050232,41.93758231600629,25741
61,member,Halsted St & Roscoe St,-87.64895,41.94367,25611
62,member,Michigan Ave & Washington St,-87.6246839761734,41.8839840647265,25347
63,member,Wells St & Evergreen Ave,-87.63483,41.906724,25340
64,member,Racine Ave & Fullerton Ave,-87.658404,41.925563,25206
65,casual,Clark St & Newport St,-87.65470666666667,41.94446816666667,25200
66,casual,New St & Illinois St,-87.61861681938171,41.89084704062381,25062
67,member,Halsted St & Wrightwood Ave,-87.649077,41.929143,25023
68,casual,Montrose Harbor,-87.638181,41.963982,24787
69,member,Lincoln Ave & Fullerton Ave,-87.64926,41.925905,24718
70,member,New St & Illinois St,-87.61861681938171,41.89084704062381,24683
71,member,Damen Ave & Pierce Ave,-87.6776919292,41.9093960065,24656
72,member,Fairbanks Ct & Grand Ave,-87.62058019638062,41.89184737210993,24628
73,member,Clinton St & Jackson Blvd,-87.64098107814789,41.87831661183069,24616
74,member,Orleans St & Merchandise Mart Plaza,-87.63639,41.888243,24544
75,casual,Wilton Ave & Belmont Ave,-87.65304,41.94018,24403
76,member,Dearborn St & Monroe St,-87.6298925,41.8810645,24318
77,member,McClurg Ct & Erie St,-87.617854,41.894503,24297
78,member,Southport Ave & Roscoe St,-87.66396266666666,41.943741333333335,24278
79,member,Daley Center Plaza,-87.62920066666666,41.88417233333333,24232
80,member,Pine Grove Ave & Waveland Ave,-87.64645278453827,41.94947274088333,24230
81,member,Morgan St & Lake St,-87.6522495,41.88548866666667,24121
82,casual,Michigan Ave & Washington St,-87.6246839761734,41.8839840647265,23847
83,casual,Sheffield Ave & Waveland Ave,-87.654529,41.949399,23839
84,member,Wilton Ave & Diversey Pkwy,-87.652705,41.932418,23791
85,casual,Michigan Ave & 8th St,-87.623981,41.872773,23726
86,member,Federal St & Polk St,-87.62953633333333,41.87217883333334,23610
87,casual,LaSalle St & Illinois St,-87.631697,41.890762,23501
88,casual,Larrabee St & Webster Ave,-87.64414,41.921822,23375
89,casual,DuSable Lake Shore Dr & Belmont Ave,-87.639192,41.940775,23254
90,member,Michigan Ave & Lake St,-87.624117,41.886024,23148
91,casual,Michigan Ave & Lake St,-87.624117,41.886024,23003
92,member,DuSable Lake Shore Dr & Diversey Pkwy,-87.636427,41.932588,22961
93,member,Columbus Dr & Randolph St,-87.619521,41.884728,22821
94,member,DuSable Lake Shore Dr & Wellington Ave,-87.6368225,41.93671616666666,22820
95,member,Peoria St & Jackson Blvd,-87.649618,41.877642,22698
96,member,Southport Ave & Waveland Ave,-87.66394,41.94815,22635
97,member,Clark St & Randolph St,-87.631596,41.88426883333333,22627
98,casual,Wells St & Evergreen Ave,-87.63483,41.906724,22571
99,casual,Damen Ave & Pierce Ave,-87.6776919292,41.9093960065,22519
100,casual,Clark St & Wrightwood Ave,-87.643118,41.929546,22470
101,member,Rush St & Superior St,-87.6259080327,41.89576474564,22437
102,member,Clark St & Wellington Ave,-87.64761533333333,41.93652333333333,22387
103,casual,Lakeview Ave & Fullerton Pkwy,-87.63906,41.92594583333333,22362
104,member,Clark St & Newport St,-87.65470666666667,41.94446816666667,22324
105,member,State St & Randolph St,-87.62737166666666,41.8845995,22131
106,casual,DuSable Lake Shore Dr & Diversey Pkwy,-87.636427,41.932588,22043
107,member,Lincoln Ave & Diversey Pkwy,-87.658617,41.932225,22008
108,member,Milwaukee Ave & Grand Ave,-87.648384,41.891578,21969
109,member,Franklin St & Jackson Blvd,-87.6353211408,41.8777079559,21963
110,member,DuSable Lake Shore Dr & Belmont Ave,-87.639192,41.940775,21773
111,member,Rush St & Cedar St,-87.627690528,41.90230870122,21754
112,casual,Dearborn St & Erie St,-87.629318,41.893992,21619
113,member,Sheffield Ave & Waveland Ave,-87.654529,41.949399,21589
114,member,Canal St & Madison St,-87.639833,41.882091,21569
115,casual,Halsted St & Roscoe St,-87.64895,41.94367,21494
116,member,State St & Kinzie St,-87.627837,41.8892055,21477
117,member,Mies van der Rohe Way & Chicago Ave,-87.621743,41.89691,21297
118,casual,Wells St & Huron St,-87.634362,41.894722,21279
119,casual,Ashland Ave & Division St,-87.66779133333333,41.90350133333333,21279
120,member,Franklin St & Chicago Ave,-87.63566762208939,41.896746973093805,21207
121,casual,Fairbanks Ct & Grand Ave,-87.62058019638062,41.89184737210993,21054
122,member,Franklin St & Lake St,-87.6357775,41.885575,21033
123,member,Halsted St & Dickens Ave,-87.64883,41.919936,20900
124,member,Sheffield Ave & Wellington Ave,-87.65250866666666,41.93629883333333,20867
125,casual,Adler Planetarium,-87.607267,41.866095,20601
126,member,Sheffield Ave & Webster Ave,-87.653818,41.92154,20565
127,casual,DuSable Lake Shore Dr & Wellington Ave,-87.6368225,41.93671616666666,20552
128,member,DuSable Lake Shore Dr & Monroe St,-87.616743,41.880958,20498
129,member,Sheridan Rd & Irving Park Rd,-87.654406,41.954245,20377
130,member,Halsted St & Polk St,-87.64664,41.87184,20235
131,casual,St. Clair St & Erie St,-87.62279838323593,41.89434513742426,20191
132,member,Franklin St & Illinois St,-87.63547986745834,41.89102331025185,20186
